c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
148204,Customer#000148204,680117.7399,9843.09,PERU,H5nZlcmpxGV5l7fmx2Pd3T42tpnreck,27-378-888-7742,"l ideas cajole bold, ironic pearls. furiously bold theodolites across the bold, stealthy deposits sleep furiousl"
82147,Customer#000082147,624826.5082,4168.87,ROMANIA,S8xj8zPtzYChkHHtPt0FR1WmwBh Czer9C,29-672-182-5375,t the ironic foxes. even dependencies boost slyly even platelets. s
6575,Customer#000006575,624598.9887,2769.78,RUSSIA,lq97LwzyT aPpV,32-486-660-6159,"ing to the packages. regular deposits after the slyly ironic instructions haggle according to the special,"
85501,Customer#000085501,622531.9465,9490.15,JAPAN,0qfU7c6QX8ZeJruxY,22-703-311-6918," the blithely silent packages. final foxes outside the ironic, unusual accounts sno"
50845,Customer#000050845,614617.7952,7711.17,ETHIOPIA,qnoVFT4Hk9z R2oYnV,15-195-885-9997,"lly; furiously express packages thrash silently. special, quick instructions wake car"
48784,Customer#000048784,611225.9428,4393.9,GERMANY,"hHRm2vH P,87yg74o,I6",17-716-599-4733,"players cajole carefully even, regular foxes. unusual, unusual deposits nag ironical"
77233,Customer#000077233,604916.989,3005.78,INDONESIA,z6zbFSCdKZetwywBdsU5g,19-274-108-2296,"are carefully. final, express instr"
117451,Customer#000117451,599792.7063,1090.48,UNITED STATES,Q8v TFdbIQMZLrFegRrx8hu4ogYzDZgQGVdjp,34-354-586-6011,ly express deposits. quickly regular multipliers alongsid
56416,Customer#000056416,594439.283,4303.82,INDIA,pmxpd1u15Ec,18-212-984-8331,odolites cajole blithely about the special packages. quickly final accounts nag; idly final reques
93637,Customer#000093637,583721.6009,4259.07,IRAQ,"gl3JZrt3IKk, CwqzMyUURa3ryInot,SR",21-248-119-3440,. quickly ironic deposits along the furio
26656,Customer#000026656,576907.5206,8668.32,KENYA,sPEyuJzakue3Gw1Wns9GMyhV,24-248-478-2321,ts must use carefully against the carefully unusual sheaves. final pinto beans grow along the ironi
8560,Customer#000008560,572361.8669,3191.1,JORDAN,"Dn,cLhHmlzRH3VXSlSxNb6fcrNIwgFu,p,lp",23-760-944-1088,through the carefully pending dolphins. even packages 
96202,Customer#000096202,571017.3398,4703.04,CANADA,X5OuOvXvWsfH52dbQA vNvMa2V7hcrrbR NxaQfF,13-194-779-9597, final dependencies are quickly. quickly regular packages sleep slyly ir
118339,Customer#000118339,567429.0715,6688.74,ETHIOPIA,"JNsrvwecBxJYRkPHEdJha6,2,KLI7Ejus2E5",15-240-956-6146,equests are among the regular accounts. slyly even packages about the furiously unusual packages haggle furiously a
128713,Customer#000128713,563776.2835,7200.3,ARGENTINA,"FE,GuzjloOKQ13WN28oouajDCUwA08aEwW",11-174-994-6880,p slyly carefully even platelets. evenly even accounts haggle quickly above the slyly regular theodolites. sly
19621,Customer#000019621,561968.4028,6337.97,GERMANY,L3VQCi7NxYw,17-126-529-2274, ironic theodolites. fluffily bold theodolites above the quic
138223,Customer#000138223,556732.8529,9577.96,IRAN,qaNzbz9bayIfWQtXNrpX,20-250-434-8464, bold deposits about the ironic
82660,Customer#000082660,554786.4777,9429.87,IRAN,6MrroMgVocAgbHxFEK0oa9CxGpVmJ75b0,20-314-253-1057,ts nag slyly pending ideas. blithely special platelets sleep according to the furiously fina
52399,Customer#000052399,554045.4697,6644.26,ARGENTINA,"Pr,GV5IyvR9KKiluj7RIl9bTtpF1SaP AlTh7D",11-240-151-1563,gular sentiments are packages. slyly regular deposits use deposits. br
2632,Customer#000002632,553970.3583,5618.72,ALGERIA,"bRWVwf6gVkmWnpdUExq2HX,W3Ueqm1wtX2 t",10-807-168-3490,sly quickly final deposits. quickly regular deposits sleep blithely. blithely 
43109,Customer#000043109,551416.9994,7144.95,EGYPT,1yhLHrgYbUMnA3OVL,14-843-724-2842,oss the quickly ironic foxes. furiously fi
56374,Customer#000056374,550601.7389,4792.79,INDONESIA,qg1FnocXKrzGmDasd8,19-118-750-6733,ular deposits about the regular pinto beans are according to the even pains. p
46450,Customer#000046450,544751.9853,2400.59,UNITED STATES,As4auqRIlBOSIWg7oqbNx,34-765-320-4326,ts. carefully regular foxes s
62449,Customer#000062449,543164.867,6959.92,IRAQ,"kYBnbwBKS sHFQFg8,uOobhke,D2GHmns2rT9SB",21-111-865-6666,s. pinto beans wake furiously across the quickly bold somas. fluffily
95695,Customer#000095695,542225.5441,7408.86,UNITED KINGDOM,"tPbbW4AYcRXKj,595krPmIlRLD",33-941-316-5727,theodolites sleep instructions. carefully even theodolites haggle quick
